,Temp,Irradiance,Time,Monat,Wochentag,TagArt,Verbrauch,WW,Heiz
8261,0.6000000000000001,0.0,5,12,3,0,0.22129341428781163,0.19171779141104295,0.5643195287843595
8262,0.56,0.0,6,12,3,0,0.3679205765540386,0.5559815950920245,0.5074943754101264
8263,0.66,0.0,7,12,3,0,0.6579285761269069,0.5943251533742331,0.5015127803181019
8264,0.49,67.0,8,12,3,0,0.7325948271115439,0.5368098159509203,0.5104851729561387
8265,0.9400000000000001,78.0,9,12,3,0,0.6909332351760705,0.40260736196319014,0.5314207557782246
8266,1.66,120.0,10,12,3,0,0.6346630253627978,0.36426380368098155,0.5374023508702491
8267,1.8800000000000001,202.0,11,12,3,0,0.628170306261223,0.325920245398773,0.5433839459622737
8268,2.37,127.0,12,12,3,0,0.678488852898364,0.325920245398773,0.5433839459622737
8269,2.63,116.0,13,12,3,0,0.7261021124718396,0.30674846625766866,0.546374743508286
8270,1.98,33.0,14,12,3,0,0.6503537595065177,0.2684049079754601,0.5523563386003104
8271,1.6300000000000001,0.0,15,12,3,0,0.5838034154547844,0.2300613496932515,0.558337933692335
8272,0.92,0.0,16,12,3,0,0.5529630093565508,0.28757668711656437,0.5493655410542981
8273,0.56,0.0,17,12,3,0,0.6276292385284804,0.40260736196319014,0.5314207557782246
8274,0.30000000000000004,0.0,18,12,3,0,0.8245749624391625,0.42177914110429443,0.5284299582322123
8275,0.45,0.0,19,12,3,0,0.999337250005575,0.5559815950920245,0.5074943754101264
8276,0.26,0.0,20,12,3,0,0.9776948775640318,0.5943251533742331,0.5015127803181019
8277,0.05,0.0,21,12,3,0,0.8056378959435978,0.5368098159509203,0.5104851729561387
8278,-0.34,0.0,22,12,3,0,0.688227940902185,0.30674846625766866,0.546374743508286
8279,-0.66,0.0,23,12,3,0,0.5302385123545515,0.19171779141104295,0.5643195287843595
8280,-0.62,0.0,0,12,4,0,0.3668020523256088,0.11503067484662576,0.5762827189684087
8281,-0.18,0.0,1,12,4,0,0.2506843105385452,0.05751533742331288,0.5852551116064454
8282,-0.11,0.0,2,12,4,0,0.21758529643138663,0.01917177914110429,0.59123670669847
8283,-0.08,0.0,3,12,4,0,0.2105314084925187,0.01917177914110429,0.59123670669847
8284,-0.2,0.0,4,12,4,0,0.20836098105199213,0.05751533742331288,0.5852551116064454
8285,-0.15,0.0,5,12,4,0,0.2219261480131835,0.19171779141104295,0.5643195287843595
8286,-0.27,0.0,6,12,4,0,0.36897255434325316,0.5559815950920245,0.5074943754101264
8287,0.13,0.0,7,12,4,0,0.6598097602830247,0.5943251533742331,0.5015127803181019
8288,0.08,55.0,8,12,4,0,0.7346895007457872,0.5368098159509203,0.5104851729561387
8289,0.46,45.0,9,12,4,0,0.6929087879952963,0.40260736196319014,0.5314207557782246
8290,0.89,58.0,10,12,4,0,0.6364776869706938,0.36426380368098155,0.5374023508702491
8291,1.19,54.0,11,12,4,0,0.6299664036986473,0.325920245398773,0.5433839459622737
8292,1.3,58.0,12,12,4,0,0.6804288238174743,0.325920245398773,0.5433839459622737
8293,1.3,43.0,13,12,4,0,0.7281782214985577,0.30674846625766866,0.546374743508286
8294,1.05,38.0,14,12,4,0,0.6522132848522436,0.2684049079754601,0.5523563386003104
8295,1.18,0.0,15,12,4,0,0.5854726566706396,0.2300613496932515,0.558337933692335
8296,0.51,0.0,16,12,4,0,0.5545440700040082,0.28757668711656437,0.5493655410542981
8297,-0.55,0.0,17,12,4,0,0.6294237890427923,0.40260736196319014,0.5314207557782246
8298,-1.12,0.0,18,12,4,0,0.8269326303608308,0.42177914110429443,0.5284299582322123
8299,-0.96,0.0,19,12,4,0,1.0021946074746222,0.5559815950920245,0.5074943754101264
8300,-1.45,0.0,20,12,4,0,0.9804903540865494,0.5943251533742331,0.5015127803181019
8301,-2.99,0.0,21,12,4,0,0.8079414178944202,0.5368098159509203,0.5104851729561387
8302,-3.93,0.0,22,12,4,0,0.6901957583280032,0.30674846625766866,0.546374743508286
8303,-4.01,0.0,23,12,4,0,0.531754597788051,0.19171779141104295,0.5643195287843595
8304,-3.81,0.0,0,12,5,1,0.38524740923600753,0.13420245398773006,0.5732919214223964
8305,-2.63,0.0,1,12,5,1,0.3237602675448715,0.07668711656441717,0.5822643140604331
8306,-1.93,0.0,2,12,5,1,0.23887522247264736,0.03834355828220858,0.5882459091524577
8307,-1.58,0.0,3,12,5,1,0.2192863632712027,0.03834355828220858,0.5882459091524577
8308,-1.57,0.0,4,12,5,1,0.21112433958967916,0.03834355828220858,0.5882459091524577
8309,-1.61,0.0,5,12,5,1,0.2094919341918968,0.03834355828220858,0.5882459091524577
8310,-1.57,0.0,6,12,5,1,0.24812550764153862,0.07668711656441717,0.5822643140604331
8311,-1.4,0.0,7,12,5,1,0.37490893256273483,0.11503067484662576,0.5762827189684087
8312,-1.27,38.0,8,12,5,1,0.5756947048737137,0.34509202453987725,0.5403931484162614
8313,-1.14,51.0,9,12,5,1,0.7487296079893545,0.5751533742331287,0.5045035778641141
8314,-0.88,63.0,10,12,5,1,0.7944369445860225,0.651840490797546,0.49254038768006503
8315,-0.5700000000000001,53.0,11,12,5,1,0.8243643631345384,0.6901840490797545,0.4865587925880405
8316,-0.23,47.0,12,12,5,1,0.8836750643437791,0.5943251533742331,0.5015127803181019
8317,0.11,35.0,13,12,5,1,0.9217645123287861,0.4984662576687116,0.5164667680481632
